,href,name,keys
167,https://yocket.in/university-reviews/central-michigan-university-2687/engineering,Central Michigan University ,C Mich
168,https://yocket.in/university-reviews/university-of-georgia-athens-2814/engineering,"University of Georgia, Athens ",GA Athens
169,https://yocket.in/university-reviews/bradley-university-2668/engineering,Bradley University ,Bradley
170,https://yocket.in/university-reviews/vanderbilt-university-2649/engineering,Vanderbilt University ,Vanderbilt
171,https://yocket.in/university-reviews/the-city-college-of-new-york-cuny-3031/engineering,"The City College of New York, CUNY ",CCNY
172,https://yocket.in/university-reviews/texas-a-and-m-university-corpus-christi-2795/engineering,Texas A&M University - Corpus Christi ,TAMUCC
173,https://yocket.in/university-reviews/depaul-university-2700/engineering,DePaul University ,DePaul
174,https://yocket.in/university-reviews/penn-state-harrisburg-2764/engineering,Penn State Harrisburg ,PSU HBG
175,https://yocket.in/university-reviews/california-polytechnic-state-university-2672/engineering,California Polytechnic State University ,Cal Poly
176,https://yocket.in/university-reviews/tufts-university-2604/engineering,Tufts University ,Tufts
177,https://yocket.in/university-reviews/oklahoma-state-university-tulsa-2762/engineering,"Oklahoma State University, Tulsa ",OSU Tulsa
178,https://yocket.in/university-reviews/university-of-arkansas-2806/engineering,University of Arkansas ,U Ark
179,https://yocket.in/university-reviews/university-of-new-mexico-2827/engineering,University of New Mexico ,UNM
180,https://yocket.in/university-reviews/university-of-texas-at-tyler-2841/engineering,University of Texas at Tyler ,UT Tyler
181,https://yocket.in/university-reviews/fairleigh-dickinson-university-2707/engineering,Fairleigh Dickinson University ,FDU
182,https://yocket.in/university-reviews/north-dakota-state-university-2753/engineering,North Dakota State University ,NDSU
183,https://yocket.in/university-reviews/eastern-michigan-university-2704/engineering,Eastern Michigan University ,E Mich
184,https://yocket.in/university-reviews/southern-illinois-university-edwardsville-2786/engineering,"Southern Illinois University, Edwardsville ",SIUE
185,https://yocket.in/university-reviews/university-of-akron-2608/engineering,University of Akron ,U of Akron
186,https://yocket.in/university-reviews/university-of-new-hampshire-2631/engineering,University of New Hampshire ,U New Hamp
187,https://yocket.in/university-reviews/chicago-state-university-2688/engineering,Chicago State University ,Chicago St
188,https://yocket.in/university-reviews/northeastern-illinois-university-2754/engineering,Northeastern Illinois University ,NEIU
189,https://yocket.in/university-reviews/state-university-of-new-york-new-paltz-2792/engineering,State University of New York – New Paltz ,SUNY NP
190,https://yocket.in/university-reviews/brigham-young-university-2566/engineering,Brigham Young University ,BYU Fulton
191,https://yocket.in/university-reviews/university-of-kentucky-2619/engineering,University of Kentucky ,U. Kentucky
192,https://yocket.in/university-reviews/university-of-nevada-las-vegas-2629/engineering,"University of Nevada, Las Vegas ",UN LV
193,https://yocket.in/university-reviews/old-dominion-university-2590/engineering,Old Dominion University ,ODU
194,https://yocket.in/university-reviews/california-state-polytechnic-university-pomona-2673/engineering,"California State Polytechnic University, Pomona ",Cal Poly CPP
195,https://yocket.in/university-reviews/suny-polytechnic-institute-3119/engineering,State University of New York Polytechnic Institute ,SUNY Poly
196,https://yocket.in/university-reviews/oakland-university-2760/engineering,Oakland University ,Oakland
197,https://yocket.in/university-reviews/bowling-green-state-university-2667/engineering,Bowling Green State University ,BGSU
198,https://yocket.in/university-reviews/city-university-of-new-york-brooklyn-college-2690/engineering,"City University Of New York, Brooklyn College ",CUNY Br
199,https://yocket.in/university-reviews/purdue-university-northwest-3158/engineering,Purdue University Northwest ,PNW
200,https://yocket.in/university-reviews/indiana-state-university-2724/engineering,Indiana State University ,Ind State
201,https://yocket.in/university-reviews/california-state-university-san-bernardino-2684/engineering,"California State University, San Bernardino ",CSU SB
202,https://yocket.in/university-reviews/western-illinois-university-2860/engineering,Western Illinois University ,WIU
203,https://yocket.in/university-reviews/north-carolina-a-and-t-state-university-2752/engineering,North Carolina A&T State University ,NCAT
204,https://yocket.in/university-reviews/south-dakota-state-university-2781/engineering,South Dakota State University ,SD State
205,https://yocket.in/university-reviews/university-of-idaho-1099/engineering,University of Idaho ,Idaho
206,https://yocket.in/university-reviews/new-mexico-state-university-2586/engineering,New Mexico State University ,NMSU
207,https://yocket.in/university-reviews/university-of-nebraska-omaha-2825/engineering,"University of Nebraska, Omaha ",UN Omaha
208,https://yocket.in/university-reviews/kettering-university-3030/engineering,"Kettering University, Flint ",Kettering
209,https://yocket.in/university-reviews/university-of-denver-2813/engineering,University of Denver ,U Denver
210,https://yocket.in/university-reviews/california-state-university-channel-islands-2675/engineering,"California State University, Channel Islands ",CSU CI
211,https://yocket.in/university-reviews/university-of-toledo-2645/engineering,University of Toledo ,U. Toledo
212,https://yocket.in/university-reviews/louisiana-tech-university-2735/engineering,Louisiana Tech University ,LA Tech
213,https://yocket.in/university-reviews/university-of-oregon-2634/engineering,University of Oregon ,U. Oregon
214,https://yocket.in/university-reviews/gannon-university-2715/engineering,Gannon University ,Gannon
215,https://yocket.in/university-reviews/seattle-university-2778/engineering,Seattle University ,Seattle U
216,https://yocket.in/university-reviews/university-of-miami-2625/engineering,University of Miami ,U. Miami
217,https://yocket.in/university-reviews/california-state-university-dominguez-hills-2676/engineering,"California State University, Dominguez Hills ",CSU DH
218,https://yocket.in/university-reviews/clarkson-university-2568/engineering,Clarkson University ,Clarkson
219,https://yocket.in/university-reviews/university-of-nevada-reno-2630/engineering,"University of Nevada, Reno ",UN Reno
220,https://yocket.in/university-reviews/minnesota-state-university-mankato-2743/engineering,"Minnesota State University, Mankato ",MNSU
221,https://yocket.in/university-reviews/university-of-texas-el-paso-2643/engineering,University of Texas at El Paso ,UT El Paso
222,https://yocket.in/university-reviews/university-of-michigan-flint-3142/engineering,"University of Michigan, Flint ",Flint
